AddressCountry,AddressCountrySubd,AddressLine1,AddressLine2,AddressLocality,AddressMatchCode,AddressOneLine,AddressPostal1,AddressPostal2,AddressPostal3,BuildingRoomsBathstotal,BuildingRoomsBeds,BuildingSizeUniversalsize,IdentifierApn,IdentifierAttomId,IdentifierFips,IdentifierObPropId,LocationAccuracy,LocationDistance,LocationElevation,LocationGeoid,LocationLatitude,LocationLongitude,LotLotSize1,SummaryPropIndicator,SummaryPropLandUse,SummaryPropclass,SummaryProptype,SummaryPearbuilt,VintageLastModified,VintagePubDate
US,TX,11706 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11706 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,9750,R002,0.0,0,1120,301888,44641575,48453,4464157548453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, ZI78719",30.069204,-97.649305,10.24,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1998,2019-1-10,2019-1-24
US,TX,11712 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11712 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,9750,R002,1.0,0,2302,552752,44649873,48453,4464987348453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.069297,-97.649200,10.22,10,SFR,Single Family Residence / Townhouse,SFR,2004,2019-1-10,2019-1-24
US,TX,11801 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11801 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,9747,R002,0.0,0,1368,301889,35684914,48453,3568491448453,Street,0.0,0.0,"CO48453, CS4890165, DB4809570, SB0000118683, SB0000118688, SB0000118690, SB0000118692, ZI78719",30.070441,-97.647454,4.657,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,2006,2019-1-10,2019-1-24
US,TX,15010 MAHA RD,"AUSTIN, TX 78719",Austin,ExaStr,"15010 MAHA RD, AUSTIN, TX 78719",78719,,,0.0,0,0,301887,166353924,48453,16635392448453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, ZI78719",30.070609,-97.652246,20.43,10,SFR,Single Family Residence / Townhouse,SFR,2006,2019-1-10,2019-1-24
US,TX,15000 MAHA RD,"AUSTIN, TX 78719",Austin,ExaStr,"15000 MAHA RD, AUSTIN, TX 78719",78719,9705,R002,1.0,0,1048,301334,166032426,48453,16603242648453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.070673,-97.652318,15.55,10,SFR,Single Family Residence / Townhouse,SFR,1923,2019-1-10,2019-1-24
US,TX,11831 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11831 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,9747,R002,0.0,0,1232,508776,149713400,48453,14971340048453,Street,0.0,0.0,"CO48453, CS4890165, DB4809570, SB0000118683, SB0000118688, SB0000118690, SB0000118692, ZI78719",30.070916,-97.646940,1.0,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1998,2019-1-10,2019-1-24
US,TX,11622 DOYLE OVERTON RD APT D,"AUSTIN, TX 78719",Austin,ExaStr,"11622 DOYLE OVERTON RD APT D, AUSTIN, TX 78719",78719,6186,R002,4.0,0,2390,704027,149713402,48453,14971340248453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.072311,-97.646442,1.0,10,SFR,Single Family Residence / Townhouse,SFR,2002,2019-1-10,2019-1-24
US,TX,11622 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11622 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,6185,R002,0.0,0,0,299805,241906197,48453,24190619748453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.072311,-97.646442,60.73,80,AGRICULTURAL (NEC),Vacant,AGRICULTURAL (NEC),1952,2019-4-11,2019-4-25
US,TX,11622 DOYLE OVERTON RD APT C,"AUSTIN, TX 78719",Austin,ExaStr,"11622 DOYLE OVERTON RD APT C, AUSTIN, TX 78719",78719,6186,R002,2.0,0,2393,837055,249626577,48453,24962657748453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.072311,-97.646442,1.4048,10,SFR,Single Family Residence / Townhouse,SFR,2002,2019-1-10,2019-1-24
US,TX,11622 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11622 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,6185,R002,3.0,0,1992,837056,249626578,48453,24962657848453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.072311,-97.646442,20.7022,10,SFR,Single Family Residence / Townhouse,SFR,1985,2019-1-10,2019-1-24
