AddressCountry,AddressCountrySubd,AddressLine1,AddressLine2,AddressLocality,AddressMatchCode,AddressOneLine,AddressPostal1,AddressPostal2,AddressPostal3,BuildingRoomsBathstotal,BuildingRoomsBeds,BuildingSizeUniversalsize,IdentifierApn,IdentifierAttomId,IdentifierFips,IdentifierObPropId,LocationAccuracy,LocationDistance,LocationElevation,LocationGeoid,LocationLatitude,LocationLongitude,LotLotSize1,SummaryPropIndicator,SummaryPropLandUse,SummaryPropclass,SummaryProptype,SummaryPearbuilt,VintageLastModified,VintagePubDate
US,KS,901 KS-27,"SYRACUSE, KS 67878",Syracuse,ExaZip,"901 KS-27, SYRACUSE, KS 67878",67878,8085,H001,1.0,3,2111,193-06-0-00-00-005.00-0,295127851,20075,29512785120075,Zip7,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.972032,-101.756112,7.17,10,RURAL HOMESITE,Single Family Residence / Townhouse,RURAL HOMESITE,1960,2018-9-10,2018-9-16
US,KS,701 KS-27,"SYRACUSE, KS 67878",Syracuse,ExaStr,"701 KS-27, SYRACUSE, KS 67878",67878,,,1.0,3,960,224-18-0-00-00-001.00-0,295125705,20075,29512570520075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.974235,-101.755190,56.0,10,RURAL HOMESITE,Single Family Residence / Townhouse,RURAL HOMESITE,1942,2018-9-10,2018-9-16
US,KS,701 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"701 S MAIN ST, SYRACUSE, KS 67878",67878,8062,R777,2.0,3,2240,193-07-0-30-11-007.00-0,295128762,20075,29512876220075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.974235,-101.755190,2.73,10,SFR,Single Family Residence / Townhouse,SFR,1935,2018-9-10,2018-9-16
US,KS,700 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"700 S MAIN ST, SYRACUSE, KS 67878",67878,8062,R777,1.0,3,1360,193-07-0-30-05-008.00-0,295128704,20075,29512870420075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.974345,-101.755510,19.57,10,RURAL HOMESITE,Single Family Residence / Townhouse,RURAL HOMESITE,1940,2018-9-10,2018-9-16
US,KS,608 KS-27,"SYRACUSE, KS 67878",Syracuse,ExaStr,"608 KS-27, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-30-05-009.00-0,295128705,20075,29512870520075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.976118,-101.754743,1.72,50,WAREHOUSE,Industrial,WAREHOUSE,1999,2018-9-10,2018-9-16
US,KS,601 KS-27,"SYRACUSE, KS 67878",Syracuse,ExaStr,"601 KS-27, SYRACUSE, KS 67878",67878,7186,R777,2.0,2,1756,193-06-0-00-00-009.00-0,295127855,20075,29512785520075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.976176,-101.754360,8.0,10,RURAL HOMESITE,Single Family Residence / Townhouse,RURAL HOMESITE,1973,2018-9-10,2018-9-16
US,KS,605 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"605 S MAIN ST, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-30-11-006.00-0 01,295128761,20075,29512876120075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.976223,-101.754340,0.98,10,RESIDENTIAL (NEC),Single Family Residence / Townhouse,RESIDENTIAL (NEC),0,2018-9-10,2018-9-16
US,KS,602 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"602 S MAIN ST, SYRACUSE, KS 67878",67878,,,1.0,2,1040,193-07-0-30-05-010.00-0,295128706,20075,29512870620075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.976307,-101.754670,1.09,10,SFR,Single Family Residence / Townhouse,SFR,1925,2018-9-10,2018-9-16
US,KS,510 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"510 S MAIN ST, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-30-05-010.01-0,295128707,20075,29512870720075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.976378,-101.754639,1.01,50,WAREHOUSE,Industrial,WAREHOUSE,1984,2018-9-10,2018-9-16
US,KS,501 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"501 S MAIN ST, SYRACUSE, KS 67878",67878,8037,R777,1.0,2,680,193-07-0-30-11-004.00-0,295128759,20075,29512875920075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.977254,-101.753881,1.0,10,SFR,Single Family Residence / Townhouse,SFR,1955,2018-9-10,2018-9-16
US,KS,505 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"505 S MAIN ST, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-30-11-005.00-0,295128760,20075,29512876020075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.977314,-101.753854,2.54,10,RESIDENTIAL (NEC),Single Family Residence / Townhouse,RESIDENTIAL (NEC),0,2018-9-10,2018-9-16
US,KS,500 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"500 S MAIN ST, SYRACUSE, KS 67878",67878,8036,R777,2.0,3,1245,193-07-0-30-05-011.00-0,295128708,20075,29512870820075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.977366,-101.754199,2.46,10,SFR,Single Family Residence / Townhouse,SFR,1938,2018-9-10,2018-9-16
US,KS,401 KS-27,"SYRACUSE, KS 67878",Syracuse,ExaStr,"401 KS-27, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-20-27-001.00-0,295128628,20075,29512862820075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.977834,-101.753631,0.38,25,SERVICE STATION,Retail,SERVICE STATION,1950,2018-9-10,2018-9-16
US,KS,403 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"403 S MAIN ST, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-30-11-002.00-0,295128757,20075,29512875720075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.977849,-101.753624,0.24,80,RESIDENTIAL ACREAGE,Vacant,RESIDENTIAL ACREAGE,0,2018-9-10,2018-9-16
US,KS,409 KS-27,"SYRACUSE, KS 67878",Syracuse,ExaStr,"409 KS-27, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-20-27-003.00-0,295128629,20075,29512862920075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.977894,-101.753604,0.32,25,SERVICE STATION,Retail,SERVICE STATION,1969,2018-9-10,2018-9-16
US,KS,402 KS-27,"SYRACUSE, KS 67878",Syracuse,ExaStr,"402 KS-27, SYRACUSE, KS 67878",67878,,,1.0,2,600,193-07-0-20-22-005.00-0,295128599,20075,29512859920075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.977961,-101.753942,0.32,10,SFR,Single Family Residence / Townhouse,SFR,1929,2018-9-10,2018-9-16
US,KS,402 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"402 S MAIN ST, SYRACUSE, KS 67878",67878,7999,R777,1.0,1,448,193-07-0-30-05-014.00-0,295128711,20075,29512871120075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.977961,-101.753942,0.3,10,SFR,Single Family Residence / Townhouse,SFR,1930,2018-9-10,2018-9-16
US,KS,404 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"404 S MAIN ST, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-30-05-013.00-0,295128710,20075,29512871020075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.977976,-101.753936,0.22,80,VACANT LAND (NEC),Vacant,VACANT LAND (NEC),0,2018-9-10,2018-9-16
US,KS,803 AVENUE A,"SYRACUSE, KS 67878",Syracuse,ExaZip,"803 AVENUE A, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-40-07-003.00-0,295128796,20075,29512879620075,Zip5,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.978073,-101.743464,0.7,80,RESIDENTIAL ACREAGE,Vacant,RESIDENTIAL ACREAGE,0,2018-9-10,2018-9-16
US,KS,707 AVENUE A,"SYRACUSE, KS 67878",Syracuse,ExaStr,"707 AVENUE A, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-40-07-004.00-0,295128797,20075,29512879720075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.978103,-101.743576,0.11,50,WAREHOUSE,Industrial,WAREHOUSE,1940,2018-9-10,2018-9-16
US,KS,800 AVENUE A,"SYRACUSE, KS 67878",Syracuse,ExaZip,"800 AVENUE A, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-20-25-002.00-0 01,295128619,20075,29512861920075,Zip5,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.978330,-101.743344,0.41,25,RETAIL TRADE,Retail,RETAIL TRADE,1972,2018-9-10,2018-9-16
US,KS,802 AVENUE A,"SYRACUSE, KS 67878",Syracuse,ExaZip,"802 AVENUE A, SYRACUSE, KS 67878",67878,7203,R777,2.0,3,1400,193-07-0-40-01-001.00-0,295128764,20075,29512876420075,Zip9,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.978338,-101.743373,2.26,10,SFR,Single Family Residence / Townhouse,SFR,1947,2018-9-10,2018-9-16
US,KS,700 AVENUE A,"SYRACUSE, KS 67878",Syracuse,ExaStr,"700 AVENUE A, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-40-01-002.00-0,295128766,20075,29512876620075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.978345,-101.743402,1.0,25,DEPARTMENT STORE,Retail,DEPARTMENT STORE,2009,2018-9-10,2018-9-16
US,KS,102 N BENTLEY ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"102 N BENTLEY ST, SYRACUSE, KS 67878",67878,,,1.0,1,678,193-07-0-40-02-006.00-0,295128775,20075,29512877520075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.978614,-101.744922,0.16,10,SFR,Single Family Residence / Townhouse,SFR,1930,2018-9-10,2018-9-16
US,KS,104 N BENTLEY ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"104 N BENTLEY ST, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-40-02-001.00-0 01,295128769,20075,29512876920075,Street,0.0,0.0,,37.978632,-101.744915,0.64,80,RESIDENTIAL ACREAGE,Vacant,RESIDENTIAL ACREAGE,0,2018-9-10,2018-9-16
US,KS,601 AVENUE A,"SYRACUSE, KS 67878",Syracuse,ExaStr,"601 AVENUE A, SYRACUSE, KS 67878",67878,,,1.0,1,960,193-08-0-00-00-007.01-0,295128822,20075,29512882220075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.978688,-101.745745,8.56,10,RURAL HOMESITE,Single Family Residence / Townhouse,RURAL HOMESITE,1928,2018-9-10,2018-9-16
US,KS,2 N LESTER ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"2 N LESTER ST, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-20-28-005.00-0 01,295128641,20075,29512864120075,Street,0.0,0.0,,37.978793,-101.756038,0.32,10,RESIDENTIAL (NEC),Single Family Residence / Townhouse,RESIDENTIAL (NEC),0,2018-9-10,2018-9-16
US,KS,6 N LESTER ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"6 N LESTER ST, SYRACUSE, KS 67878",67878,7923,R777,1.0,3,1332,193-07-0-20-28-006.00-0,295128642,20075,29512864220075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.978936,-101.755958,0.32,10,SFR,Single Family Residence / Townhouse,SFR,1930,2018-9-10,2018-9-16
US,KS,106 N SUMNER ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"106 N SUMNER ST, SYRACUSE, KS 67878",67878,7973,R777,2.0,2,2790,193-07-0-10-51-001.00-0,295128413,20075,29512841320075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.978992,-101.746146,0.56,10,SFR,Single Family Residence / Townhouse,SFR,1935,2018-9-10,2018-9-16
US,KS,606 AVENUE A,"SYRACUSE, KS 67878",Syracuse,ExaStr,"606 AVENUE A, SYRACUSE, KS 67878",67878,,,1.0,3,1299,193-07-0-40-02-005.00-0,295128774,20075,29512877420075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.979003,-101.745844,0.16,10,SFR,Single Family Residence / Townhouse,SFR,1905,2018-9-10,2018-9-16
US,KS,307 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"307 S MAIN ST, SYRACUSE, KS 67878",67878,,,1.0,3,1204,193-07-0-30-09-003.00-0,295128747,20075,29512874720075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.979007,-101.753134,0.43,10,SFR,Single Family Residence / Townhouse,SFR,1935,2018-9-10,2018-9-16
US,KS,8 N LESTER ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"8 N LESTER ST, SYRACUSE, KS 67878",67878,,,1.0,3,1320,193-07-0-20-28-001.00-0,295128637,20075,29512863720075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.979008,-101.755918,0.16,10,SFR,Single Family Residence / Townhouse,SFR,1940,2018-9-10,2018-9-16
US,KS,101 N SUMNER ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"101 N SUMNER ST, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-40-02-004.01-0,295128773,20075,29512877320075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.979045,-101.746489,0.32,10,SFR,Single Family Residence / Townhouse,SFR,0,2018-9-10,2018-9-16
US,KS,311 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"311 S MAIN ST, SYRACUSE, KS 67878",67878,,,0.0,0,0,193-07-0-30-09-004.00-0,295128748,20075,29512874820075,Street,0.0,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.979047,-101.753118,0.34,26,AUTO REPAIR,Service (general public),AUTO REPAIR,1955,2018-9-10,2018-9-16
