IdentifierObPropId,IdentifierFips,IdentifierApn,IdentifierApnOrig,IdentifierAttomId,LotDepth,LotFrontage,LotLotsize1,LotLotsize2,LotPooltype,AreaCountrysecsubd,AreaCountyuse1,AreaMuncode,AreaMunname,AreaSubdname,AreaSubdtractnum,AreaTaxcodearea,AddressCountry,AddressCountrySubd,AddressLine1,AddressLine2,AddressLocality,AddressMatchCode,AddressOneLine,AddressPostal1,LocationAccuracy,LocationElevation,LocationLatitude,LocationLongitude,LocationDistance,LocationGeoid,SummaryAbsenteeInd,SummaryPropclass,SummaryPropsubtype,SummaryProptype,SummaryYearbuilt,SummaryPropLandUse,SummaryPropIndicator,SummaryLegal1,UtilitiesHeatingtype,BuildingSizeBldgsize,BuildingSizeGrosssize,BuildingSizeGrosssizeadjusted,BuildingSizeGroundfloorsize,BuildingSizeLivingsize,BuildingSizeSsizeInd,BuildingSizeUniversalsize,BuildingRoomsBathfixtures,BuildingRoomsBaths1qtr,BuildingRoomsBaths3qtr,BuildingRoomsBathscalc,BuildingRoomsBathsfull,BuildingRoomsBathshalf,BuildingRoomsBathstotal,BuildingRoomsBeds,BuildingRoomsRoomsTotal,BuildingInteriorBsmtsize,BuildingInteriorFplccount,BuildingConstructionFoundationtype,BuildingConstructionRoofcover,BuildingConstructionWallType,BuildingParkingPrkgSize,BuildingSummaryArchStyle,BuildingSummaryBldgsNum,BuildingSummaryBldgType,BuildingSummaryImprType,BuildingSummaryLevels,BuildingSummaryMobileHomeInd,BuildingSummaryStoryDesc,BuildingSummaryUnitsCount,BuildingSummaryYearbuilteffective,VintageLastModified,VintagePubDate,AvmAmountScr,AvmAmountValue,AvmAmountHigh,AvmAmountLow,AvmAmountValueRange,AvmAVMChangeAvmlastmonthvalue,AvmAVMChangeAvmamountchange,AvmAVMChangeAvmpercentchange,AvmCalculationsPerSizeUnit,AvmCalculationsRatioTaxAmt,AvmCalculationsRatioTaxValue,AvmCalculationsMonthlyChgPct,AvmCalculationsMonthlyChgValue,AvmCalculationsRangePctOfValue,AvmConditionAvmpoorlow,AvmConditionAvmpoorhigh,AavmConditionAvmpoorscore,AvmConditionAvmgoodlow,AvmConditionAvmgoodhigh,AvmConditionAvmgoodscore,AvmConditionAvmexcellentlow,AvmConditionAvmexcellenthigh,AvmConditionAvmexcellentscore,SaleAmountSaleamt,SaleAmountSaledisclosuretype,SaleCalculationPriceperbed,SaleCalculationPricepersizeunit,AssessmentAppraisedApprimprvalue,AssessmentAppraisedApprlandvalue,AssessmentAppraisedApprttlvalue,AssessmentAssessedAssdimprpersizeunit,AssessmentAssessedAssdimprvalue,AssessmentAssessedAssdlandpersizeunit,AssessmentAssessedAssdlandvalue,AssessmentAssessedAssdttlpersizeunit,AssessmentAssessedAssdttlvalue,AssessmentCalculationsCalcimprind,AssessmentCalculationsCalcimprpersizeunit,AssessmentCalculationsCalcimprvalue,AssessmentCalculationsCalclandind,AssessmentCalculationsCalclandpersizeunit,AssessmentCalculationsCalclandvalue,AssessmentCalculationsCalcttlind,AssessmentCalculationsCalcttlvalue,AssessmentCalculationsCalcvaluepersizeunit,AssessmentMarketMktimprvalue,AssessmentMarketMktlandvalue,AssessmentMarketMktttlvalue,AssessmentTaxTaxamt,AssessmentTaxTaxpersizeunit,AssessmentTaxTaxyear
17590035317031,17031,17343060150000,17343060150000,175900353,0,0,0.0737,3211,NONE,Cook County,,CO,COOK,FREEMANS ADD/CHICAGO,0,0,US,IL,9 E 36TH PL,"CHICAGO,IL 60475",Chicago,ExaZip,"9 E 36TH PL, CHICAGO,IL 60475",60475,Zip5,0.0,41.470600,-87.632800,0.0,"CO17031, CO17197, CS1714000, CS1717536, DB1706420, DB1737680, MT30001048, ND0000226613, ND0000565631, ND0000565660, PL1714000, PL1772520, SB0000083913, SB0000084260, SB0000084273, SB0000084296, SB0000132126, SB0000132127, SB0000132128, SB0000132129, SB0000135254, ZI60475, ZI60609",OWNER OCCUPIED,Exempt,RESIDENTIAL,PUBLIC (NEC),0,PUBLIC (NEC),90,,,0,0,0,0,0,BUILDING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0,0.0,0,0,0,0.0,0.0,0
17489261517031,17031,25242100010000,25242100010000,174892615,0,0,0.0636,2770,NONE,Cook County,1-00,CO,COOK,,0,70030,US,IL,11701 S PAXTON AVE,"CHICAGO,IL 60466",Chicago,ExaZip,"11701 S PAXTON AVE, CHICAGO,IL 60466",60466,Zip5,0.0,41.482000,-87.682600,0.0,"CO17031, CS1763498, DB1730810, DB1733420, MT30001048, ND0001636989, PL1757732, SB0000085759, SB0000132103, SB0000132104, SB0000132105, SB0000132106, ZI60466",OWNER OCCUPIED,Vacant,RESIDENTIAL,VACANT LAND (NEC),0,VACANT LAND (NEC),80,,,0,0,0,0,0,BUILDING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.22,618,0.0,618,MARKET VALUE,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0,0.0,0,0,0,133.0,0.0,2017
15850885717031,17031,17221090260000,17221090260000,158508857,0,0,0.0687,2992,NONE,Cook County,0-RR,CO,COOK,,0,0,US,IL,200 E 15TH ST,"CHICAGO,IL 60411",Chicago,ExaZip,"200 E 15TH ST, CHICAGO,IL 60411",60411,Zip5,0.0,41.507400,-87.613600,0.0,"CO17031, CS1706561, CS1714000, DB1706420, DB1710950, MT30001048, ND0004682444, PL1714000, PL1714026, SB0000084239, SB0000084260, SB0000084273, SB0000131963, SB0000135253, ZI60411, ZI60605",OWNER OCCUPIED,Transport,RESIDENTIAL,TRANSPORT FACILITY,0,TRANSPORT FACILITY,53,,,0,0,0,0,0,BUILDING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0,0.0,0,0,0,0.0,0.0,0
17519655817031,17031,17221060540000,17221060540000,175196558,0,0,0.0302,1317,NONE,Cook County,1-00,CO,COOK,ASSESSORS DIV,0,76014,US,IL,26 E 16TH ST,"CHICAGO,IL 60411",Chicago,ExaZip,"26 E 16TH ST, CHICAGO,IL 60411",60411,Zip5,0.0,41.507400,-87.613600,0.0,"CO17031, CS1706561, CS1714000, DB1706420, DB1710950, MT30001048, ND0004682444, PL1714000, PL1714026, SB0000084239, SB0000084260, SB0000084273, SB0000131962, SB0000135253, ZI60411, ZI60605",ABSENTEE(MAIL AND SITUS NOT =),Vacant,RESIDENTIAL,VACANT LAND (NEC),0,VACANT LAND (NEC),80,,,0,0,0,0,0,BUILDING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,602500,0,0,0,0,0,0,0.0,0,0.38,500,0.0,500,MARKET VALUE,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0,0.0,0,0,0,107.0,0.0,2017
17589563117031,17031,17271150250000,17271150250000,175895631,0,0,0.209,9103,NONE,Cook County,,CO,COOK,,0,0,US,IL,2 E 25TH ST,"CHICAGO,IL 60411",Chicago,ExaZip,"2 E 25TH ST, CHICAGO,IL 60411",60411,Zip5,0.0,41.507400,-87.613600,0.0,"CO17031, CS1706561, CS1714000, DB1706420, DB1710950, MT30001048, ND0004682444, PL1714000, PL1714026, SB0000083978, SB0000084260, SB0000084273, SB0000131961, SB0000135253, ZI60411, ZI60616",OWNER OCCUPIED,Exempt,RESIDENTIAL,PUBLIC (NEC),0,PUBLIC (NEC),90,,,0,0,0,0,0,BUILDING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0,0.0,0,0,0,0.0,0.0,0
17589563217031,17031,17271150260000,17271150260000,175895632,0,0,0.0545,2373,NONE,Cook County,,CO,COOK,,0,0,US,IL,10 E 25TH ST,"CHICAGO,IL 60411",Chicago,ExaZip,"10 E 25TH ST, CHICAGO,IL 60411",60411,Zip5,0.0,41.507400,-87.613600,0.0,"CO17031, CS1706561, CS1714000, DB1706420, DB1710950, MT30001048, ND0004682444, PL1714000, PL1714026, SB0000083978, SB0000084260, SB0000084273, SB0000131961, SB0000135253, ZI60411, ZI60616",OWNER OCCUPIED,Exempt,RESIDENTIAL,PUBLIC (NEC),0,PUBLIC (NEC),90,,,0,0,0,0,0,BUILDING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0,0.0,0,0,0,0.0,0.0,0
17589563517031,17031,17271150300000,17271150300000,175895635,0,0,0.1943,8463,NONE,Cook County,,CO,COOK,,0,0,US,IL,20 E 25TH ST,"CHICAGO,IL 60411",Chicago,ExaZip,"20 E 25TH ST, CHICAGO,IL 60411",60411,Zip5,0.0,41.507400,-87.613600,0.0,"CO17031, CS1706561, CS1714000, DB1706420, DB1710950, MT30001048, ND0004682444, PL1714000, PL1714026, SB0000083978, SB0000084260, SB0000084273, SB0000131961, SB0000135253, ZI60411, ZI60616",OWNER OCCUPIED,Exempt,RESIDENTIAL,PUBLIC (NEC),0,PUBLIC (NEC),90,,,0,0,0,0,0,BUILDING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0,0.0,0,0,0,0.0,0.0,0
22737866817031,17031,17082320270000,17082320270000,227378668,0,0,0.1039,4527,NONE,Cook County,,CO,COOK,,0,0,US,IL,N SANGAMON ST,"CHICAGO,IL 60411",Chicago,ExaZip,"N SANGAMON ST, CHICAGO,IL 60411",60411,Zip5,0.0,41.507400,-87.613600,0.0,"CO17031, CS1706561, DB1706420, DB1710950, MT30001048, ND0004682444, PL1714026, SB0000084685, SB0000084686, SB0000135253, ZI60411",OWNER OCCUPIED,Exempt,RESIDENTIAL,PUBLIC (NEC),0,PUBLIC (NEC),90,,,0,0,0,0,0,BUILDING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0,0.0,0,0,0,0.0,0.0,0
22737866817031,17031,17082320270000,17082320270000,227378668,0,0,0.1039,4527,NONE,Cook County,,CO,COOK,,0,0,US,IL,N SANGAMON ST,"CHICAGO,IL 60411",Chicago,ExaZip,"N SANGAMON ST, CHICAGO,IL 60411",60411,Zip5,0.0,41.507400,-87.613600,0.0,"CO17031, CS1706561, DB1706420, DB1710950, MT30001048, ND0004682444, PL1714026, SB0000084685, SB0000084686, SB0000135253, ZI60411",OWNER OCCUPIED,Exempt,RESIDENTIAL,PUBLIC (NEC),0,PUBLIC (NEC),90,,,0,0,0,0,0,BUILDING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0,0.0,0,0,0,0.0,0.0,0
22153561517031,17031,17221100090000,17221100090000,221535615,0,0,20.6829,900949,NONE,Cook County,1-00,CO,COOK,,0,76014,US,IL,300 E 15TH ST,"CHICAGO,IL 60411",Chicago,ExaZip,"300 E 15TH ST, CHICAGO,IL 60411",60411,Zip5,0.0,41.507400,-87.613600,0.0,"CO17031, CS1706561, DB1706420, DB1710950, MT30001048, ND0004682444, PL1714026, RS0001269444, SB0000131963, SB0000135253, ZI60411",ABSENTEE(MAIL AND SITUS NOT =),Vacant,RESIDENTIAL,VACANT LAND (NEC),0,VACANT LAND (NEC),80,,,0,0,0,0,0,BUILDING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.03,29488,0.0,29488,MARKET VALUE,0.0,0,MARKET VALUE,0.0,0,MARKET VALUE,0,0.0,0,0,0,6347.0,0.0,2017
