AddressCountry,AddressCountrySubd,AddressLine1,AddressLine2,AddressLocality,AddressMatchCode,AddressOneLine,AddressPostal1,AddressPostal2,AddressPostal3,BuildingRoomsBathstotal,BuildingRoomsBeds,BuildingSizeUniversalsize,IdentifierApn,IdentifierAttomId,IdentifierFips,IdentifierObPropId,LocationAccuracy,LocationDistance,LocationElevation,LocationGeoid,LocationLatitude,LocationLongitude,LotLotSize1,SummaryPropIndicator,SummaryPropLandUse,SummaryPropclass,SummaryProptype,SummaryPearbuilt,VintageLastModified,VintagePubDate
US,,1 GOVERNORS IS,"NEW YORK, NY 10004",New York,ExaStr,"1 GOVERNORS IS, NEW YORK, NY 10004",10004,,,0,0,2725731,10010,170383672,36061,1.70384E+13,Street,0,0,"CO36061,CS3644919,DB3600077,MT30004136,ND0000051761,PL3651000,SB0000105754,SB0000105765,SB0000105772,SB0000105749,SB0000105741,ZI10004",40.687009,-74.016883,,90,PUBLIC (NEC),Exempt,PUBLIC (NEC),1900,9/10/2018,9/16/2018
US,,1253 COUNTY ROAD 278,"BUFFALO, TX 75831",Buffalo,ExaStr,"1253 COUNTY ROAD 278, BUFFALO, TX 75831",75831,4628,R001,0,0,2496,16000-22015-00000-000000,250134203,48289,2.50134E+13,Street,0,0,"CO48289, CS4890680, DB4811990, SB0000119015, SB0000119016, SB0000119017, ZI75831",31.322829,-95.945516,,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,2000,1/24/2018,2/12/2018
US,,1644 COUNTY ROAD 186,"ROCHESTER, TX 79544",Rochester,ExaZip,"1644 COUNTY ROAD 186, ROCHESTER, TX 79544",79544,2200,R001,0,3,3150,11581,307406473,48207,3.07406E+13,Zip5,0,0,"CO48207, CS4893285, DB4822740, SB0000121113, SB0000121114, ZI79544",33.30109,-99.84884,,10,RURAL HOMESITE,Single Family Residence / Townhouse,RURAL HOMESITE,1940,1/24/2018,2/12/2018
US,,25 BRONX RIVER RD,"YONKERS, NY 10704",Yonkers,ExaStr,"25 BRONX RIVER RD, YONKERS, NY 10704",10704,4401,C031,2,4,1874,5.518E+25,169037129,36119,1.69037E+13,Street,0,0,"CO36119,CS3684000,DB3631920,MT30004136,ND0004676379,ND0004689244,PL3684000,ZI10704",40.902152,-73.86104,,21,DUPLEX,"""Duplex, Triplex, Quadplex)""",DUPLEX,1934,5/22/2019,5/24/2019
US,,608 KS-27,"SYRACUSE, KS 67878",Syracuse,ExaStr,"608 KS-27, SYRACUSE, KS 67878",67878,,,0,0,0,193-07-0-30-05-009.00-0,295128705,20075,2.95129E+13,Street,0,0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",37.976118,-101.754743,,50,WAREHOUSE,Industrial,WAREHOUSE,1999,9/10/2018,9/16/2018
US,,29495 JAMES CHAPEL RD N,"ALBANY, LA 70711",Albany,ExaStr,"29495 JAMES CHAPEL RD N, ALBANY, LA 70711",70711,,,0,0,0,40530162,213164046,22063,2.13164E+13,Street,0,0,"CO22063, CS2295413, DB2201020, SB0000090012, SB0000090015, SB0000090016, SB0000090043, ZI70711",30.481926,-90.592538,,80,RESIDENTIAL ACREAGE,Vacant,RESIDENTIAL ACREAGE,0,1/10/2019,1/24/2019
US,,759 PELHAM RD,"NEW ROCHELLE, NY 10805",New Rochelle,ExaStr,"759 PELHAM RD, NEW ROCHELLE, NY 10805",10805,1103,C012,0,0,0,5.51E+21,149008258,36119,1.49008E+13,Street,0,0,"CO36119,CS3650617,DB3620490,MT30004136,ND0004677637,PL3650617,SB0000105630,SB0000105632,SB0000105631,ZI10805",40.888639,-73.789768,,10,SFR,Single Family Residence / Townhouse,SFR,0,5/22/2019,5/24/2019
US,,TILDON AVE,"MOUNT VERNON, OH 33843",Mount Vernon,ExaZip,"TILDON AVE, MOUNT VERNON, OH 33843",33843,,,0,0,0,6609772000,248135681,39083,2.48136E+13,Zip5,0,0,"CO12105, CS1291209, ZI33825",27.71621,-81.39427,,80,COMMERCIAL ACREAGE,Vacant,COMMERCIAL ACREAGE,0,4/11/2019,4/25/2019
US,,153 OKARA DR,"SCHENECTADY, NY 12303",Schenectady,ExaStr,"153 OKARA DR, SCHENECTADY, NY 12303",12303,5707,C023,2,4,1666,1.3089E+24,168522425,36001,1.68522E+13,Street,0,0,"CO36001,CS3631104,DB3613080,MT30000458,RS0000246353,SB0000105250,SB0000105248,SB0000105249,ZI12303",42.712344,-73.926095,,10,SFR,Single Family Residence / Townhouse,SFR,1955,4/11/2019,4/25/2019
US,,10082 DENTVILLE RD,"UTICA, MS 39175",Utica,ExaStr,"10082 DENTVILLE RD, UTICA, MS 39175",39175,9532,R001,0,0,0,1-051 -02-013.03,246186298,28029,2.46186E+13,Street,0,0,"CO28029, CS2892349, DB2801830, SB0000098092, SB0000098093, SB0000098094, ZI39175",31.961891,-90.56968,,90,FOREST,Exempt,FOREST,0,5/22/2019,5/24/2019
