IdentifierObPropId,IdentifierFips,IdentifierApn,IdentifierApnOrig,IdentifierAttomId,LotDepth,LotFrontage,LotLotsize1,LotLotsize2,LotPooltype,AreaCountrysecsubd,AreaCountyuse1,AreaMuncode,AreaMunname,AreaSubdname,AreaSubdtractnum,AreaTaxcodearea,AddressCountry,AddressCountrySubd,AddressLine1,AddressLine2,AddressLocality,AddressMatchCode,AddressOneLine,AddressPostal1,LocationAccuracy,LocationElevation,LocationLatitude,LocationLongitude,LocationDistance,LocationGeoid,SummaryAbsenteeInd,SummaryPropclass,SummaryPropsubtype,SummaryProptype,SummaryYearbuilt,SummaryPropLandUse,SummaryPropIndicator,SummaryLegal1,UtilitiesHeatingtype,BuildingSizeBldgsize,BuildingSizeGrosssize,BuildingSizeGrosssizeadjusted,BuildingSizeGroundfloorsize,BuildingSizeLivingsize,BuildingSizeSsizeInd,BuildingSizeUniversalsize,BuildingRoomsBathfixtures,BuildingRoomsBaths1qtr,BuildingRoomsBaths3qtr,BuildingRoomsBathscalc,BuildingRoomsBathsfull,BuildingRoomsBathshalf,BuildingRoomsBathstotal,BuildingRoomsBeds,BuildingRoomsRoomsTotal,BuildingInteriorBsmtsize,BuildingInteriorFplccount,BuildingConstructionFoundationtype,BuildingConstructionRoofcover,BuildingConstructionWallType,BuildingParkingPrkgSize,BuildingSummaryArchStyle,BuildingSummaryBldgsNum,BuildingSummaryBldgType,BuildingSummaryImprType,BuildingSummaryLevels,BuildingSummaryMobileHomeInd,BuildingSummaryStoryDesc,BuildingSummaryUnitsCount,BuildingSummaryYearbuilteffective,VintageLastModified,VintagePubDate,AvmAmountScr,AvmAmountValue,AvmAmountHigh,AvmAmountLow,AvmAmountValueRange,AvmAVMChangeAvmlastmonthvalue,AvmAVMChangeAvmamountchange,AvmAVMChangeAvmpercentchange,AvmCalculationsPerSizeUnit,AvmCalculationsRatioTaxAmt,AvmCalculationsRatioTaxValue,AvmCalculationsMonthlyChgPct,AvmCalculationsMonthlyChgValue,AvmCalculationsRangePctOfValue,AvmConditionAvmpoorlow,AvmConditionAvmpoorhigh,AavmConditionAvmpoorscore,AvmConditionAvmgoodlow,AvmConditionAvmgoodhigh,AvmConditionAvmgoodscore,AvmConditionAvmexcellentlow,AvmConditionAvmexcellenthigh,AvmConditionAvmexcellentscore,SaleAmountSaleamt,SaleAmountSaledisclosuretype,SaleCalculationPriceperbed,SaleCalculationPricepersizeunit,AssessmentAppraisedApprimprvalue,AssessmentAppraisedApprlandvalue,AssessmentAppraisedApprttlvalue,AssessmentAssessedAssdimprpersizeunit,AssessmentAssessedAssdimprvalue,AssessmentAssessedAssdlandpersizeunit,AssessmentAssessedAssdlandvalue,AssessmentAssessedAssdttlpersizeunit,AssessmentAssessedAssdttlvalue,AssessmentCalculationsCalcimprind,AssessmentCalculationsCalcimprpersizeunit,AssessmentCalculationsCalcimprvalue,AssessmentCalculationsCalclandind,AssessmentCalculationsCalclandpersizeunit,AssessmentCalculationsCalclandvalue,AssessmentCalculationsCalcttlind,AssessmentCalculationsCalcttlvalue,AssessmentCalculationsCalcvaluepersizeunit,AssessmentMarketMktimprvalue,AssessmentMarketMktlandvalue,AssessmentMarketMktttlvalue,AssessmentTaxTaxamt,AssessmentTaxTaxpersizeunit,AssessmentTaxTSaxyear
24121628906085,06085,72830006,72830006,241216289,0,0,18.4167,802231,NONE,Santa Clara County,92,SC,SANTA CLARA,,0,4003,US,CA,HALF RD,"MORGAN HILL, CA 95037",Morgan Hill,ExaZip,"HALF RD, MORGAN HILL, CA 95037",95037,Zip5,0.0,37.158180,-121.595110,0.0,"CO06085, CS0690680, DB0625830, ZI95037",ABSENTEE(MAIL AND SITUS NOT =),Agricultural,RESIDENTIAL,FARMS,0,FARMS,70,MAP B4 917,,0,0,0,0,0,LIVING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,30715500,0,0,0,0,0,0,0.0,0,9.68,7762771,0.0,7762771,ASSESSED VALUE,0.0,0,ASSESSED VALUE,9.68,7762771,ASSESSED VALUE,7762771,0.0,0,0,0,93523.0,0.0,2018
24121218606085,06085,36609044,36609044,241212186,0,0,0.3926,17100,NONE,Santa Clara County,69,SC,SANTA CLARA,SEVEN SPGS,7993,13002,US,CA,STAUFFER LN,"CUPERTINO, CA 95070",Cupertino,ExaZip,"STAUFFER LN, CUPERTINO, CA 95070",95070,Zip5,0.0,37.255630,-122.048510,0.0,"CO06085, CS0692830, DB0622800, DB0635910, MT30003348, ND0000452610, ND0002913504, PL0670280, SB0000071674, SB0000135802, SB0000135803, SB0000135804, SB0000135805, ZI95070",,Vacant,RESIDENTIAL,VACANT LAND (NEC),0,VACANT LAND (NEC),80,TRACT 7993 SEVEN SPRINGS BOOK 582 PAGE 31 PAGE 32 LOT 190,,0,0,0,0,0,BUILDING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,1,0,2018-1-24,2018-2-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,1848000,0,0,0,0,0,0,0.0,0,110.23,1884960,0.0,1884960,ASSESSED VALUE,0.0,0,ASSESSED VALUE,110.23,1884960,ASSESSED VALUE,1884960,0.0,0,0,0,22464.62,0.0,2018
15561690406085,06085,50336018,50336018,155616904,0,0,14.4396,628989,NONE,Santa Clara County,96,SC,SANTA CLARA,,0,60014,US,CA,13620 REDWOOD GULCH RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"13620 REDWOOD GULCH RD, CUPERTINO, CA 95014",95014,Street,0.0,37.262290,-122.098145,0.0,"CO06085, CS0693660, DB0622800, DB0635910, ZI95014",ABSENTEE(MAIL AND SITUS NOT =),Exempt,RESIDENTIAL,FOREST,0,FOREST,90,LOT A,,0,0,0,0,0,LIVING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.53,336439,0.0,336439,ASSESSED VALUE,0.0,0,ASSESSED VALUE,0.53,336439,ASSESSED VALUE,336439,0.0,0,0,0,4191.0,0.0,2018
15561690306085,06085,50336017,50336017,155616903,0,0,13.51,588495,NONE,Santa Clara County,01,SC,SANTA CLARA,,0,60014,US,CA,13820 REDWOOD GULCH RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"13820 REDWOOD GULCH RD, CUPERTINO, CA 95014",95014,Street,0.0,37.264554,-122.096286,0.0,"CO06085, CS0693660, DB0622800, DB0635910, SB0000071674, SB0000135802, SB0000135803, SB0000135804, SB0000135805, ZI95014",OWNER OCCUPIED,Single Family Residence / Townhouse,RESIDENTIAL,SFR,0,SFR,10,LOT 1,,0,0,0,0,0,LIVING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,32745,0.13,78134,0.0,110879,ASSESSED VALUE,0.0,32745,ASSESSED VALUE,0.19,78134,ASSESSED VALUE,110879,0.0,0,0,0,1561.04,0.0,2018
15824473606085,06085,50306019,50306019,158244736,150,20,0.0689,3000,NONE,Santa Clara County,69,SC,SANTA CLARA,PARADISO SUB,0,63113,US,CA,15851 STEVENS CANYON RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"15851 STEVENS CANYON RD, CUPERTINO, CA 95014",95014,Street,0.0,37.267944,-122.094772,0.0,"CO06085, CS0693660, DB0614430, DB0635910, SB0000070016, SB0000135802, SB0000135803, SB0000135804, SB0000135805, ZI95070",ABSENTEE(MAIL AND SITUS NOT =),Vacant,RESIDENTIAL,VACANT LAND (NEC),1920,VACANT LAND (NEC),80,,,502,502,502,502,502,BUILDING SQFT ,502,0,0,0,1.0,0,0,1.0,1,3,0,0,,,,0,,1,TYPE UNKNOWN,RESIDENTIAL,1, ,TYPE UNKNOWN,1,1920,2018-1-24,2018-2-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,19000,0,19000,38,0,0,0,0.0,0,6.59,19767,39.38,19767,ASSESSED VALUE,0.0,0,ASSESSED VALUE,6.59,19767,ASSESSED VALUE,19767,39.38,0,0,0,685.86,1.37,2018
15824473606085,06085,50306019,50306019,158244736,150,20,0.0689,3000,NONE,Santa Clara County,69,SC,SANTA CLARA,PARADISO SUB,0,63113,US,CA,15851 STEVENS CANYON RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"15851 STEVENS CANYON RD, CUPERTINO, CA 95014",95014,Street,0.0,37.267944,-122.094772,0.0,"CO06085, CS0693660, DB0614430, DB0635910, SB0000070016, SB0000135802, SB0000135803, SB0000135804, SB0000135805, ZI95070",ABSENTEE(MAIL AND SITUS NOT =),Vacant,RESIDENTIAL,VACANT LAND (NEC),1920,VACANT LAND (NEC),80,,,502,502,502,502,502,BUILDING SQFT ,502,0,0,0,1.0,0,0,1.0,1,3,0,0,,,,0,,1,TYPE UNKNOWN,RESIDENTIAL,1, ,TYPE UNKNOWN,1,1920,2018-1-24,2018-2-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,19000,0,19000,38,0,0,0,0.0,0,6.59,19767,39.38,19767,ASSESSED VALUE,0.0,0,ASSESSED VALUE,6.59,19767,ASSESSED VALUE,19767,39.38,0,0,0,685.86,1.37,2018
24121337406085,06085,50306023,50306023,241213374,0,0,2.2,95832,NONE,Santa Clara County,96,SC,SANTA CLARA,PARADISO,0,63113,US,CA,15853 STEVENS CANYON RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"15853 STEVENS CANYON RD, CUPERTINO, CA 95014",95014,Street,0.0,37.267955,-122.094780,0.0,"CO06085, CS0693660, DB0614430, DB0635910, SB0000070016, SB0000135802, SB0000135803, SB0000135804, SB0000135805, ZI95070",OWNER OCCUPIED,Exempt,RESIDENTIAL,FOREST,0,FOREST,90,,,0,0,0,0,0,LIVING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.35,33097,0.0,33097,ASSESSED VALUE,0.0,0,ASSESSED VALUE,0.35,33097,ASSESSED VALUE,33097,0.0,0,0,0,440.26,0.0,2018
24121337406085,06085,50306023,50306023,241213374,0,0,2.2,95832,NONE,Santa Clara County,96,SC,SANTA CLARA,PARADISO,0,63113,US,CA,15853 STEVENS CANYON RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"15853 STEVENS CANYON RD, CUPERTINO, CA 95014",95014,Street,0.0,37.267955,-122.094780,0.0,"CO06085, CS0693660, DB0614430, DB0635910, SB0000070016, SB0000135802, SB0000135803, SB0000135804, SB0000135805, ZI95070",OWNER OCCUPIED,Exempt,RESIDENTIAL,FOREST,0,FOREST,90,,,0,0,0,0,0,LIVING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.35,33097,0.0,33097,ASSESSED VALUE,0.0,0,ASSESSED VALUE,0.35,33097,ASSESSED VALUE,33097,0.0,0,0,0,440.26,0.0,2018
24121337406085,06085,50306023,50306023,241213374,0,0,2.2,95832,NONE,Santa Clara County,96,SC,SANTA CLARA,PARADISO,0,63113,US,CA,15853 STEVENS CANYON RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"15853 STEVENS CANYON RD, CUPERTINO, CA 95014",95014,Street,0.0,37.267955,-122.094780,0.0,"CO06085, CS0693660, DB0614430, DB0635910, SB0000070016, SB0000135802, SB0000135803, SB0000135804, SB0000135805, ZI95070",OWNER OCCUPIED,Exempt,RESIDENTIAL,FOREST,0,FOREST,90,,,0,0,0,0,0,LIVING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.35,33097,0.0,33097,ASSESSED VALUE,0.0,0,ASSESSED VALUE,0.35,33097,ASSESSED VALUE,33097,0.0,0,0,0,440.26,0.0,2018
24121337406085,06085,50306023,50306023,241213374,0,0,2.2,95832,NONE,Santa Clara County,96,SC,SANTA CLARA,PARADISO,0,63113,US,CA,15853 STEVENS CANYON RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"15853 STEVENS CANYON RD, CUPERTINO, CA 95014",95014,Street,0.0,37.267955,-122.094780,0.0,"CO06085, CS0693660, DB0614430, DB0635910, SB0000070016, SB0000135802, SB0000135803, SB0000135804, SB0000135805, ZI95070",OWNER OCCUPIED,Exempt,RESIDENTIAL,FOREST,0,FOREST,90,,,0,0,0,0,0,LIVING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.35,33097,0.0,33097,ASSESSED VALUE,0.0,0,ASSESSED VALUE,0.35,33097,ASSESSED VALUE,33097,0.0,0,0,0,440.26,0.0,2018
24121337006085,06085,50306014,50306014,241213370,0,0,22.47,978793,NONE,Santa Clara County,01,SC,SANTA CLARA,PARADISO,0,63113,US,CA,15630 STEVENS CANYON RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"15630 STEVENS CANYON RD, CUPERTINO, CA 95014",95014,Street,0.0,37.267980,-122.093676,0.0,"CO06085, CS0693660, DB0614430, DB0635910, ZI95014",OWNER OCCUPIED,Single Family Residence / Townhouse,RESIDENTIAL,SFR,0,SFR,10,,,0,0,0,0,0,LIVING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-2,39,1954000,2752000,1157000,1595000,0,0,0,0.0,761.54,11.78,0.0,0,81.63,1099150.0,2614400.0,34.0,1157000.0,2752000.0,39.0,1185925.0,2820800.0,41.5,0,0,0,0,0,0,0,0.0,0,0.17,165830,0.0,165830,ASSESSED VALUE,0.0,0,ASSESSED VALUE,0.17,165830,ASSESSED VALUE,165830,0.0,0,0,0,2565.86,0.0,2018
24121337006085,06085,50306014,50306014,241213370,0,0,22.47,978793,NONE,Santa Clara County,01,SC,SANTA CLARA,PARADISO,0,63113,US,CA,15630 STEVENS CANYON RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"15630 STEVENS CANYON RD, CUPERTINO, CA 95014",95014,Street,0.0,37.267980,-122.093676,0.0,"CO06085, CS0693660, DB0614430, DB0635910, ZI95014",OWNER OCCUPIED,Single Family Residence / Townhouse,RESIDENTIAL,SFR,0,SFR,10,,,0,0,0,0,0,LIVING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-2,39,1954000,2752000,1157000,1595000,0,0,0,0.0,761.54,11.78,0.0,0,81.63,1099150.0,2614400.0,34.0,1157000.0,2752000.0,39.0,1185925.0,2820800.0,41.5,0,0,0,0,0,0,0,0.0,0,0.17,165830,0.0,165830,ASSESSED VALUE,0.0,0,ASSESSED VALUE,0.17,165830,ASSESSED VALUE,165830,0.0,0,0,0,2565.86,0.0,2018
24121337006085,06085,50306014,50306014,241213370,0,0,22.47,978793,NONE,Santa Clara County,01,SC,SANTA CLARA,PARADISO,0,63113,US,CA,15630 STEVENS CANYON RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"15630 STEVENS CANYON RD, CUPERTINO, CA 95014",95014,Street,0.0,37.267980,-122.093676,0.0,"CO06085, CS0693660, DB0614430, DB0635910, ZI95014",OWNER OCCUPIED,Single Family Residence / Townhouse,RESIDENTIAL,SFR,0,SFR,10,,,0,0,0,0,0,LIVING SQFT ,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,TYPE UNKNOWN,RESIDENTIAL,0, ,TYPE UNKNOWN,0,0,2018-1-24,2018-2-2,39,1954000,2752000,1157000,1595000,0,0,0,0.0,761.54,11.78,0.0,0,81.63,1099150.0,2614400.0,34.0,1157000.0,2752000.0,39.0,1185925.0,2820800.0,41.5,0,0,0,0,0,0,0,0.0,0,0.17,165830,0.0,165830,ASSESSED VALUE,0.0,0,ASSESSED VALUE,0.17,165830,ASSESSED VALUE,165830,0.0,0,0,0,2565.86,0.0,2018
15762567706085,06085,50306010,50306010,157625677,205,30,1.0925,47590,NONE,Santa Clara County,01,SC,SANTA CLARA,PARADISO,0,63113,US,CA,15602 STEVENS CANYON RD,"CUPERTINO, CA 95014",Cupertino,ExaStr,"15602 STEVENS CANYON RD, CUPERTINO, CA 95014",95014,Street,0.0,37.268285,-122.090990,0.0,"CO06085, CS0693660, DB0622800, DB0635910, ZI95014",ABSENTEE(MAIL AND SITUS NOT =),Single Family Residence / Townhouse,RESIDENTIAL,SFR,1930,SFR,10,,,1234,1234,1234,1234,1234,LIVING SQFT ,1234,0,0,0,1.0,0,0,1.0,2,5,0,0,,,,616,,1,TYPE UNKNOWN,RESIDENTIAL,1, ,TYPE UNKNOWN,1,1930,2018-1-24,2018-2-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,1.29,1596,0.09,4235,4.73,5831,ASSESSED VALUE,1.29,1596,ASSESSED VALUE,0.12,4235,ASSESSED VALUE,5831,4.73,0,0,0,575.14,0.47,2018
