IdentifierObPropId,IdentifierFips,IdentifierApn,IdentifierApnOrig,IdentifierAttomId,LotDepth,LotFrontage,LotLotsize1,LotLotsize2,LotPooltype,AreaCountrysecsubd,AreaCountyuse1,AreaMuncode,AreaMunname,AreaSubdname,AreaSubdtractnum,AreaTaxcodearea,AddressCountry,AddressCountrySubd,AddressLine1,AddressLine2,AddressLocality,AddressMatchCode,AddressOneLine,AddressPostal1,LocationAccuracy,LocationElevation,LocationLatitude,LocationLongitude,LocationDistance,LocationGeoid,SummaryAbsenteeInd,SummaryPropclass,SummaryPropsubtype,SummaryProptype,SummaryYearbuilt,SummaryPropLandUse,SummaryPropIndicator,SummaryLegal1,UtilitiesHeatingtype,BuildingSizeBldgsize,BuildingSizeGrosssize,BuildingSizeGrosssizeadjusted,BuildingSizeGroundfloorsize,BuildingSizeLivingsize,BuildingSizeSsizeInd,BuildingSizeUniversalsize,BuildingRoomsBathfixtures,BuildingRoomsBaths1qtr,BuildingRoomsBaths3qtr,BuildingRoomsBathscalc,BuildingRoomsBathsfull,BuildingRoomsBathshalf,BuildingRoomsBathstotal,BuildingRoomsBeds,BuildingRoomsRoomsTotal,BuildingInteriorBsmtsize,BuildingInteriorFplccount,BuildingConstructionFoundationtype,BuildingConstructionRoofcover,BuildingConstructionWallType,BuildingParkingPrkgSize,BuildingSummaryArchStyle,BuildingSummaryBldgsNum,BuildingSummaryBldgType,BuildingSummaryImprType,BuildingSummaryLevels,BuildingSummaryMobileHomeInd,BuildingSummaryStoryDesc,BuildingSummaryUnitsCount,BuildingSummaryYearbuilteffective,VintageLastModified,VintagePubDate,AvmAmountScr,AvmAmountValue,AvmAmountHigh,AvmAmountLow,AvmAmountValueRange,AvmAVMChangeAvmlastmonthvalue,AvmAVMChangeAvmamountchange,AvmAVMChangeAvmpercentchange,AvmCalculationsPerSizeUnit,AvmCalculationsRatioTaxAmt,AvmCalculationsRatioTaxValue,AvmCalculationsMonthlyChgPct,AvmCalculationsMonthlyChgValue,AvmCalculationsRangePctOfValue,AvmConditionAvmpoorlow,AvmConditionAvmpoorhigh,AavmConditionAvmpoorscore,AvmConditionAvmgoodlow,AvmConditionAvmgoodhigh,AvmConditionAvmgoodscore,AvmConditionAvmexcellentlow,AvmConditionAvmexcellenthigh,AvmConditionAvmexcellentscore,SaleAmountSaleamt,SaleAmountSaledisclosuretype,SaleCalculationPriceperbed,SaleCalculationPricepersizeunit,AssessmentAppraisedApprimprvalue,AssessmentAppraisedApprlandvalue,AssessmentAppraisedApprttlvalue,AssessmentAssessedAssdimprpersizeunit,AssessmentAssessedAssdimprvalue,AssessmentAssessedAssdlandpersizeunit,AssessmentAssessedAssdlandvalue,AssessmentAssessedAssdttlpersizeunit,AssessmentAssessedAssdttlvalue,AssessmentCalculationsCalcimprind,AssessmentCalculationsCalcimprpersizeunit,AssessmentCalculationsCalcimprvalue,AssessmentCalculationsCalclandind,AssessmentCalculationsCalclandpersizeunit,AssessmentCalculationsCalclandvalue,AssessmentCalculationsCalcttlind,AssessmentCalculationsCalcttlvalue,AssessmentCalculationsCalcvaluepersizeunit,AssessmentMarketMktimprvalue,AssessmentMarketMktlandvalue,AssessmentMarketMktttlvalue,AssessmentTaxTaxamt,AssessmentTaxTaxpersizeunit,AssessmentTaxTaxyear
29512876120075,20075,193-07-0-30-11-006.00-0 01,,295128761,3400,4450,0.98,42689,,Hamilton County,1199,,,ORIGINAL TOWN,,,US,KS,605 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"605 S MAIN ST, SYRACUSE, KS 67878",67878,Street,0.0,37.976223,-101.754340,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",,Single Family Residence / Townhouse,,RESIDENTIAL (NEC),0,RESIDENTIAL (NEC),10,"ORIGINAL TOWN, S07, T24, R40, BLOCK 116, S 15' LOT 3, ALL 4-7; N 10' LOT 8 & N 35' LOT 15, ALL 16, N 40' LOT 17 & VAC ALLEYS",,0,0,0,0,0,LIVING SQFT ,0,-1,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,,,0, ,,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,988,0.04,1725,0.0,2713,ASSESSED VALUE,0.0,988,ASSESSED VALUE,0.06,1725,ASSESSED VALUE,2713,0.0,8590,15000,23590,0.0,0.0,-1
29512870620075,20075,193-07-0-30-05-010.00-0,,295128706,3400,1400,1.09,47480,,Hamilton County,1101,,,ORIGINAL TOWN,,,US,KS,602 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"602 S MAIN ST, SYRACUSE, KS 67878",67878,Street,0.0,37.976307,-101.754670,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",ABSENTEE(MAIL AND SITUS NOT =),Single Family Residence / Townhouse,,SFR,1925,SFR,10,"ORIGINAL TOWN, BLOCK 115, N 110' OF BLK 115 & VACATED ALLEYS AND STREETS",,0,0,1040,0,1040,LIVING SQFT ,1040,5,0,0,1.0,0,0,1.0,2,5,520,0,CONCRETE,METAL,STUCCO,0,BUNGALOW,0,,,1, ,,1,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,3.78,3932,0.02,967,4.71,4899,ASSESSED VALUE,3.78,3932,ASSESSED VALUE,0.1,967,ASSESSED VALUE,4899,4.71,34190,8410,42600,0.0,0.0,-1
29512870720075,20075,193-07-0-30-05-010.01-0,,295128707,3400,1300,1.01,43996,,Hamilton County,2730,,,ORIGINAL TOWN,,,US,KS,510 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"510 S MAIN ST, SYRACUSE, KS 67878",67878,Street,0.0,37.976378,-101.754639,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",ABSENTEE(MAIL AND SITUS NOT =),Industrial,,WAREHOUSE,1984,WAREHOUSE,50,"ORIGINAL TOWN, BLOCK 106, LOT 9 - 14, S 100' BLK 106 & VACATED ALLEYS AND STREETS",SPACE,0,0,2520,2520,2520,BUILDING SQFT ,0,-1,0,0,0.0,0,0,0.0,0,0,0,0,,,METAL,0,,0,,,1, ,,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,4005,0.06,2718,0.0,6723,ASSESSED VALUE,0.0,4005,ASSESSED VALUE,0.15,2718,ASSESSED VALUE,6723,0.0,16020,10870,26890,0.0,0.0,-1
29512876020075,20075,193-07-0-30-11-005.00-0,,295128760,3400,1500,2.54,110642,,Hamilton County,1199,,,ORIGINAL TOWN,,,US,KS,505 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"505 S MAIN ST, SYRACUSE, KS 67878",67878,Street,0.0,37.977314,-101.753854,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",,Single Family Residence / Townhouse,,RESIDENTIAL (NEC),0,RESIDENTIAL (NEC),10,"ORIGINAL TOWN, S07, T24, R40, BLOCK 105, S 5' LOT 4; ALL LOTS 5-12, ALL LOTS 13-16, ALL IN BLOCK 105; ALL LOTS 1, 2 & 18 AND",,0,0,0,0,0,LIVING SQFT ,0,-1,0,0,0.0,0,0,0.0,0,0,0,0,,,,4000,,0,,,0, ,,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,5848,0.03,3257,0.0,9105,ASSESSED VALUE,0.0,5848,ASSESSED VALUE,0.08,3257,ASSESSED VALUE,9105,0.0,50850,28320,79170,0.0,0.0,-1
29512871020075,20075,193-07-0-30-05-013.00-0,,295128710,1500,625,0.22,9583,,Hamilton County,9900,,,ORIGINAL TOWN,,,US,KS,404 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"404 S MAIN ST, SYRACUSE, KS 67878",67878,Street,0.0,37.977976,-101.753936,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",,Vacant,,VACANT LAND (NEC),0,VACANT LAND (NEC),80,"ORIGINAL TOWN, BLOCK 95, LOT PT 4; 5 - 6, S/2 4; 5-6 & VAC ALLEY",,0,0,0,0,0,LIVING SQFT ,0,-1,0,0,0.0,0,0,0.0,0,0,0,0,,,,0,,0,,,0, ,,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,0,0.06,607,0.0,607,ASSESSED VALUE,0.0,0,ASSESSED VALUE,0.06,607,ASSESSED VALUE,607,0.0,0,5060,5060,0.0,0.0,-1
29512864120075,20075,193-07-0-20-28-005.00-0 01,,295128641,0,0,0.32,13939,,Hamilton County,1199,,,ORIGINAL TOWN,,,US,KS,2 N LESTER ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"2 N LESTER ST, SYRACUSE, KS 67878",67878,Street,0.0,37.978793,-101.756038,0.0,,,Single Family Residence / Townhouse,,RESIDENTIAL (NEC),0,RESIDENTIAL (NEC),10,"ORIGINAL TOWN, BLOCK 001, LOT 5 - 6",,0,0,0,0,0,LIVING SQFT ,0,-1,0,0,0.0,0,0,0.0,0,0,0,0,,,,420,,0,,,0, ,,0,0,2018-9-10,2018-9-16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,193,0.05,636,0.0,829,ASSESSED VALUE,0.0,193,ASSESSED VALUE,0.06,636,ASSESSED VALUE,829,0.0,1680,5530,7210,0.0,0.0,-1
29512874720075,20075,193-07-0-30-09-003.00-0,,295128747,1500,1250,0.43,18731,,Hamilton County,1101,,,ORIGINAL TOWN,,,US,KS,307 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"307 S MAIN ST, SYRACUSE, KS 67878",67878,Street,0.0,37.979007,-101.753134,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",ABSENTEE(MAIL AND SITUS NOT =),Single Family Residence / Townhouse,,SFR,1935,SFR,10,"ORIGINAL TOWN, S07, T24, R40, BLOCK 79, LOT 4 - 8; LOT WIDTH: 125.0 LOT DEPTH: 150.0",FORCED AIR,0,0,1204,0,1204,LIVING SQFT ,1204,5,0,0,1.0,0,0,1.0,3,6,1204,0,CONCRETE,COMPOSITION SHINGLE,ALUMINUM/VINYL,0,BUNGALOW,0,,,1, ,,1,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,5.07,6109,0.05,906,5.83,7015,ASSESSED VALUE,5.07,6109,ASSESSED VALUE,0.37,906,ASSESSED VALUE,7015,5.83,53120,7880,61000,0.0,0.0,-1
29512863720075,20075,193-07-0-20-28-001.00-0,,295128637,1400,500,0.16,6970,,Hamilton County,1101,,,ORIGINAL TOWN,,,US,KS,8 N LESTER ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"8 N LESTER ST, SYRACUSE, KS 67878",67878,Street,0.0,37.979008,-101.755918,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",,Single Family Residence / Townhouse,,SFR,1940,SFR,10,"ORIGINAL TOWN, BLOCK 001, LOT 2",FLOOR/WALL FURNACE,0,0,1320,0,1320,LIVING SQFT ,1320,5,0,0,1.0,0,0,1.0,3,5,550,0,CONCRETE,COMPOSITION SHINGLE,ALUMINUM/VINYL,0,BUNGALOW,0,,,2, ,,1,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,3.27,4321,0.06,451,3.62,4772,ASSESSED VALUE,3.27,4321,ASSESSED VALUE,0.68,451,ASSESSED VALUE,4772,3.62,37570,3920,41490,0.0,0.0,-1
29512877320075,20075,193-07-0-40-02-004.01-0,,295128773,1400,1000,0.32,13939,,Hamilton County,9910,,,ORIGINAL TOWN,,,US,KS,101 N SUMNER ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"101 N SUMNER ST, SYRACUSE, KS 67878",67878,Street,0.0,37.979045,-101.746489,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",,Single Family Residence / Townhouse,,SFR,0,SFR,10,"ORIGINAL TOWN, BLOCK 144, LOT 5 & 6, LOTS 5 & 6, BLK 144",,0,0,0,0,0,LIVING SQFT ,0,-1,0,0,0.0,0,0,0.0,0,0,0,0,,,,1792,,0,,,0, ,,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,1533,0.07,946,0.0,2479,ASSESSED VALUE,0.0,1533,ASSESSED VALUE,0.18,946,ASSESSED VALUE,2479,0.0,13330,8230,21560,0.0,0.0,-1
29512874820075,20075,193-07-0-30-09-004.00-0,,295128748,1500,1000,0.34,14810,,Hamilton County,2280,,,ORIGINAL TOWN,,,US,KS,311 S MAIN ST,"SYRACUSE, KS 67878",Syracuse,ExaStr,"311 S MAIN ST, SYRACUSE, KS 67878",67878,Street,0.0,37.979047,-101.753118,0.0,"CO20075, CS2069875, DB2012150, PL2069850, SB0000088597, SB0000088598, ZI67878",ABSENTEE(MAIL AND SITUS NOT =),Service (general public),,AUTO REPAIR,1955,AUTO REPAIR,26,"ORIGINAL TOWN, BLOCK 79, LOT 9 - 12",SPACE,0,0,2400,2400,2400,BUILDING SQFT ,0,-1,0,0,0.0,0,0,0.0,0,0,0,0,,,CONCRETE BLOCK,0,,0,,,1, ,,0,0,2018-1-24,2018-2-4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,0,0,0,0.0,4245,0.11,1688,0.0,5933,ASSESSED VALUE,0.0,4245,ASSESSED VALUE,0.4,1688,ASSESSED VALUE,5933,0.0,16980,6750,23730,0.0,0.0,-1
